Hotel name,Location,Amenities,Rooms,Reviews
St.Marks,"The location is McKinley Hill Drive 4th, Taguig, 1630 Manila, Philippines","Outdoor swimming pool
Free WiFi
Non-smoking rooms
24-hour front desk
Laundry
Terrace
Garden
Lift",Studio,"Review 1: No text found
Review 2: No text found
Review 3: No text found
Review 4: No text found
Review 5: No text found
Review 6: No text found
Review 7: No text found
Review 8: No text found
Review 9: No text found
Review 10: No text found
Review 11: No text found
Review 12: No text found"
Artemis Place Makati Hotel,"The location is Enrique Street, 5065 Filmore Street, Makati, 1235 Manila, Philippines","Free WiFi
Free parking
Family rooms
Non-smoking rooms
Room service
24-hour front desk
Laundry
Lift","Studio
Superior 1-Bedroom
Deluxe Studio
Deluxe Family Studio
Deluxe 1-Bedroom
Premier Family Studio
Penthouse Suite","Review 1: No text found
Review 2: No text found
Review 3:
“The penthouse is spacious and very clean, the location is good as it is close to fast food chains and restaurants, the staff where very accommodating.”

Review 4:
“Breakfast was not provided or any food but you can use food panda or grab to deliver the food. Staff is very friendly and supportive. One of my colleague lost mobile and staff even helped in that by sharing cctv footage to us. Also guided us to...”

Review 5:
“I loved the staff and the security. Amazing people.”

Review 6:
“The room (family suite) was very clean, and we had a very comfortable stay. The staff were very friendly and helpful, and were attentive to our needs. I appreciated how they updated us and kept us informed days before we checked in, and how they...”

Review 7:
“The hotel was easily accessible. Room was clean and well-maintained. Staff were also friendly and always willing to help.”

Review 8:
“The staff are quick to respond to our request. Simple accomodation but very convenient and clean.”

Review 9:
“Firstly the room was very clean, spacious and had a nice little kitchen as well as the bathroom was nice. Secondly the staff was very friendly as well as the security was great. Location is great, it cost about 200-300 Peso to city centre Manila...”

Review 10:
“The friendly staff, special thanks to Joanna & Jigs for helping me with my reservation issues.”

Review 11:
“spotlessly clean, great little studio, excellent staff.”

Review 12:
“Staffs are accomodating and has explained things very well. They made sure to cater to all our needs and has complied to our every request. Room was also clean.”

Review 13: No text found"
Anex Hotel near US Embassy,"The location is 1125 M. H. Del Pilar Street, 1000 Manila, Philippines","Free WiFi
Airport shuttle (free)
Private parking
Non-smoking rooms
Restaurant
Room service
24-hour front desk
Bar
Laundry
Breakfast","Deluxe Double Room
Deluxe Twin Room
Standard Double Room
Standard Single Room","Review 1: No text found
Review 2: No text found
Review 3: No text found"
Hop Inn Hotel Ermita Manila,"The location is 1850 M.H. Del Pilar Street, Malate, 1004 Manila, Philippines","Free WiFi
Free parking
Non-smoking rooms
24-hour front desk
Facilities for disabled guests
Lift","Standard Twin Room
Standard Double Room
Standard Double Room with Sea View","Review 1: No text found
Review 2: No text found
Review 3: No text found
Review 4: No text found
Review 5: No text found
Review 6: No text found
Review 7: No text found
Review 8: No text found
Review 9: No text found
Review 10: No text found
Review 11: No text found
Review 12: No text found
Review 13:
“Free water refill. Hotel was very basic but clean, even with security. Everything we needed.”

Review 14:
“The room is very clean & with a comfortable bed.”

Review 15:
“Nice stay with Ultra clean room, 
But a hair dryer and ironing board would be a nice addition.”

Review 16:
“Very good location. There’s plenty of restaurants and takeaways within walking distance. There’s also 7-11 at the ground floor.”

Review 17:
“Well situated and clean. Ideal for a short stay in Manila.”

Review 18:
“The room is clean, and the bed is very comfortable. The location is very accessible to everything. There is a convenience store on the ground floor.”

Review 19:
“I was impressed with the quality of the room: Bed comfort, cleanliness, view of Manila Bay and politeness of reception. I will be back soon”

Review 20:
“Good basic hotel. The rooms are well equipped with A/C, strong wifi, good shower.
next to the entrance you can find a 7 eleven.”

Review 21:
“city centre, accessible to shopping malls and near to airport”

Review 22:
“Facility and rooms are clean. Smells clean. No roaches. Staff are very responsive and polite. There's enough place where you can eat and work.”

Review 23: No text found
Review 24: No text found"
Manila Manor Hotel,"The location is 1660 Jorge Bocobo Street, Malate, 1004 Manila, Philippines","Free WiFi
Parking
Non-smoking rooms
Restaurant
Room service
24-hour front desk
Laundry
Lift
Breakfast","Superior Double or Twin Room
Deluxe Double or Twin Room
Deluxe Suite
Room Selected at Check In","Review 1: No text found
Review 2: No text found"
Hop Inn Hotel Aseana City Manila,"The location is Lot 9 Block 5, near corner of Bradco Avenue and Macapagal Boulevard, Aseana City,, Paranaque, 1702 Manila, Philippines","Free WiFi
Non-smoking rooms
24-hour front desk
Facilities for disabled guests
Lift","Standard Double Room
Standard Twin Room
Deluxe Room","Review 1: No text found
Review 2: No text found
Review 3: No text found
Review 4: No text found
Review 5: No text found
Review 6: No text found
Review 7: No text found
Review 8: No text found
Review 9: No text found
Review 10: No text found
Review 11: No text found
Review 12: No text found
Review 13:
“Clean and perfectly adequate. Nothing luxurious but was great value.”

Review 14:
“The room is clean and comfortable. The room set up is ideal for working traveller. The hotel location is good and close to various establishments. Staffs are friendly and helpful. Definitely gonna book again.”

Review 15:
“Very clean and all the staff were very helpful and welcoming.”

Review 16:
“Comfortable, very accesseble to other places and i will recommend to my friends. Thanks”

Review 17:
“Close to many restaurants and location itself help us to discover beautiful city of makati, few km away from Manila bay and the biggest mall in Asia”

Review 18:
“Bed.  It was soft good for my back.  
Quick check in
Perfect location 
Security personnel is courteious anf helpful.”

Review 19:
“The staff was pleasant and accommodating. I found the rooms to be neat and well-maintained, with a reliable wifi connection. There's a 7-11 downstairs. There was free parking available on a first-come-first-served basis. Despite coming and going...”

Review 20:
“Quiet neighbourhood, still in development. Small but clean room with a comfortable bed and cotton sheets. You can keep your lugage safely at the hotel before departure.”

Review 21:
“Nice staff  very accomodating.specially when u as a favor to book a grab or taxi.on time coming”

Review 22:
“new hotel. Room are clean. location is good. 7-11 just besides the hotel. nice chinese restaurant just opposite the hotel.”

Review 23: No text found
Review 24: No text found"
City Garden Grand Hotel,"The location is 8008 Makati Avenue, Corner Kalayaan, Makati, 1200 Manila, Philippines","Outdoor swimming pool
Free WiFi
Free parking
Family rooms
Fitness centre
Non-smoking rooms
Spa and wellness centre
2 restaurants
Bar
Good breakfast","Deluxe Twin Room
Superior Twin Room
Deluxe King Room
Superior King Room
Junior Suite
Grand Suite
Standard King Room - No View
Standard Twin Room - No View","Review 1: No text found
Review 2:
“Front of staff are exceptional.  Stayed two nights at the hotel across the road at 3k PHP a night more.
It was not a scratch on the professional appeal of the City Garden Grand.”

Review 3:
“Good location in the center! 
Cleaning staff were brilliant. 
Reception staff were very helpful. 
Good value for $$”

Review 4:
“Location is near from Airport. approx 30min without traffic jam. 
Staff is very kind and Friendly.”

Review 5:
“Special thanks to Larry del Valle 👌 
He is bery professional and just a very cool guy! 
I will come back soon again! 

Jay-r from the Firefly big thanks, he is very good and friendly 👌👌👌”

Review 6:
“The 'deluxe twin room' was good enough for 4 people. Great breakfast service. Helpful and professional staff. Great location, specially to all the bars, cafés and restaurants in the area, around Poblacion and Rockwell Centre.”

Review 7:
“GOOD HOTEL AND GOOD LOCATION VERY PROFESSIONAL STAFF SPECIAL THANKS FOR ROOM ATTENDANT MR ALVIN AND SUPERVISOR ROSEL FOR KEEP MY ROOM IN HIGH STANDARD CLEAN THEY HAVE HIGH QUALITY JOB  👍”

Review 8:
“Nice rooftop pool, excellent spa service, friendly service. Good location close to Makati night life.”

Review 9:
“Very clean and a nice room, beautiful lobby and I especially liked the pool terrace at the 32 stage at the top”

Review 10:
“Location was good, price was great. Rooftop restaurant.”

Review 11:
“Building is starting to show its age but the lobby and the room are clean and well maintained, and the room had all the amenities we expected. We ordered Chicken and Pork Adobo with Salted Egg for dinner and we really liked it.”

Review 12: No text found
Review 13: No text found"
Sofitel Philippine Plaza Manila,"The location is CCP Complex, Roxas Boulevard, Pasay, 1300 Manila, Philippines","Outdoor swimming pool
Free WiFi
Airport shuttle
Free parking
Family rooms
Fitness centre
Non-smoking rooms
Spa and wellness centre
Bar
Very good breakfast","Superior Twin Room with City View
Superior King Room with City View
Luxury Twin Room with City View
Luxury King Room with City View
Sofitel King Suite with City View or Bay View
Junior Family King Suite with City View or Bay View
Luxury Club Twin Room with City View
Luxury Club King Room with City View
Opera Suite
Luxury King Room with Bay View
Imperial King Suite
Luxury King Room with Pool View
Superior King Room with Pool View
Luxury Club King Room with Bay View
Luxury Club King Room with Pool View","Review 1: No text found
Review 2: No text found
Review 3: No text found
Review 4: No text found
Review 5: No text found
Review 6: No text found
Review 7: No text found
Review 8: No text found
Review 9: No text found
Review 10: No text found
Review 11: No text found
Review 12: No text found
Review 13:
“I booked a room with access to the Club Lounge. This made our staycation so much better. ❤️ Also, we were able to get a late checkout, which allowed us to have the Sunday Brunch Buffet.”

Review 14:
“The service was amazing. And the executive lounge was the most opulent and amazing lounge I’ve ever been in.”

Review 15:
“The location is nice, very nice service, they give you everything you need. The check in and check out are very efficient.  The pool is great, good water activity for kids. The breakfast is awesome, so many choices.”

Review 16:
“I stayed swimming in the pool for over an hour, their pool is ok”

Review 17:
“The hotel was very nice. The place is quiet and comfortable. The reception staff are wonderful. 
General services are available.”

Review 18:
“size of the room (we had 3 big luggage to open),
the amazing breakfast buffet with live music in background
the nice pool, suited for both kids and parents (nice ambiance with poolbar, coconut restaurant and palm trees all around), with pool...”

Review 19:
“The buffet at spiral was amazing. Snap Bar was also a good hangout. The pool was relaxing. The massage and skincare treatments were great.”

Review 20:
“Breakfast was grand, in fact it was more like a brunch,soooo many variety I could stay there till lunch. There was this ""Tajo"" guy and kakanin girl going around ready to offer if you want them food.The swimming pool was massive.”

Review 21:
“Whenever I called the operator someone actually answered and whatever I requested for was immediately addressed.”

Review 22:
“The room was spacious and comfortable bed.
One of the biggest breakfast spread ever, you need minimum one hour if you're planning to try a little bit of everything.”

Review 23: No text found
Review 24: No text found"
Red Planet Manila Bay,"The location is Arquiza corner Alhambra Streets Ermita, 0930 Manila, Philippines","Free WiFi
Free parking
Family rooms
Non-smoking rooms
Restaurant
24-hour front desk
Facilities for disabled guests
Lift","Double Room
Twin Room","Review 1: No text found
Review 2: No text found
Review 3:
“Tidiness of the rooms.
Pleasant stall 
Interesting location”

Review 4:
“The room was very clean on arrival. Its close to a few Aussie bars and Robinson Shopping mall, and straight across the road to Manila Bay.”

Review 5:
“I like the location since I am scheduled for an interview in US Embassy. Just a walking distance so its soo perfect... And I guess this place brings good luck since I read from a review too that her US visa was granted. I got my 10 year multiple...”

Review 6:
“Cold Ac. Location practically on the beach. Near Rizal Park. Nice staff. Giving early check in without being asked.”

Review 7:
“Lovely location Room for a few extra pesos overlooking Manila Bay.Ww will be rebooting for January”

Review 8:
“The location near the US Embassy. And the staff are very helpful about my inquiries.”

Review 9:
“There are a large number of kind and polite staff.”

Review 10:
“Most of the stuff is friendly,the location is not that bad, but I wish we had the ocean view. Space is kind of small, but the modern minimalist is what I really like the most..  the service is really great, and security  guards are all friendly ...”

Review 11:
“Good location
Friendly staff
Air con
All facilities required”

Review 12:
“Nice and clean room. The location is very good, the Rizal Park and its museums is just around the corner and there's also many places around to get some good food.”

Review 13: No text found
Review 14: No text found"
Glory Hotel Cubao,"The location is 231 Ermin Garcia Street Brgy Silangan Cubao, Quezon City, 1102 Manila, Philippines","Free WiFi
Family rooms
Non-smoking rooms
24-hour front desk","Standard Studio
Superior Double Room
Superior Twin Room
Deluxe Queen Room
Family Room
Family Suite","Review 1: No text found
Review 2:
“- Excellent value for money
- Very friendly and helpful staff
- Rooms are clean, shower is new, bed is comfy, tv is nice
- Very safe: 24/7 security presence”

Review 3:
“Love the abience and how the staff handle guest and definitely gonna stay there again ..”

Review 4:
“1. The area is accessible and quiet.
2. The hotel tries to be sustainable.
3. Room was cozy.”

Review 5:
“Very clean and nice budget rooms. I was surprised that there was a table in our room because I thought there wouldn't be. No free water though.  Loved the staff! They were all accomodating and very friendly, always smiling :) I liked how there was...”

Review 6:
“If you're planning on staying for a week.. This is the place. 
Simple style for a quick stay, was given a free room upgrade for our elders.
Room service request is pretty fast for such a big place
Jeepni taxi and tricycle pass by very often for...”

Review 7:
“The staff at the reception was kind. The room was clean with a good AC and a hot shower. You can walk to the MRT station easily.”

Review 8:
“The cleanliness and comfortability of your room exceeded my expectations.”

Review 9:
“Very near to the center of Cubao. Was able to fetch a car or taxi easily. The room was at a nice temp and was clean!”

Review 10:
“The room is clean. Very nice toilet and bath accessories. Had its own mini convenience store. It really is a value for money.”

Review 11:
“the room is very clean and staffs are accomodating”

Review 12: No text found
Review 13: No text found"
Pacific Bay Grand Suites,"The location is 1622 JORGE BOCOBO STREET , BIRCH TOWER MANILA, 1004 Manila, Philippines","Indoor swimming pool
Free WiFi
Free parking
Family rooms
Fitness centre
Non-smoking rooms
Room service
24-hour front desk
Laundry
Terrace","Premier Studio With Kitchen
Deluxe King Room
Bay View Suite
Luxury One Bedroom
Two Bedroom Family Suite","Review 1: No text found
Review 2:
“We stayed as family of 5 members and we perfectly fit in the 2 bedroom suite. The room was good and worth it.”

Review 3:
“The staff are giving excellent service. I left my wedding ring in the safe but when i call them they found it and returned it to me.”

Review 4: No text found"
Regency Grand Suites,"The location is 32 Birch Tower, 1622, J. Bocobo St. Malate, 1004 Manila, Philippines","Indoor swimming pool
Free WiFi
Family rooms
Fitness centre
Non-smoking rooms
Restaurant
Room service
24-hour front desk
Lift","Deluxe Studio
Executive Twin Studio 
One-Bedroom Suite
Premier Studio
Room Selected at Check In
Prestige Club Suite
Prestige Club Twin Bed Suite","Review 1: No text found
Review 2: No text found
Review 3: No text found
Review 4: No text found
Review 5: No text found
Review 6: No text found
Review 7: No text found
Review 8: No text found
Review 9: No text found
Review 10: No text found
Review 11: No text found
Review 12:
“The beautiful, breathtaking view of Manila Bay from the 49th floor. The room is clean and the service is superb. The staff made sure that we had a comfortable, convenient stay.”

Review 13:
“We spent 3 nights in Manila and this hotel was an excellent choice. The location is very good! There is a huge mall on the corner, and the area has great nightlife. Our apartment was at a higher floor, so we had an amazing view from the balcony....”

Review 14:
“Great location from shop center/establishments.”

Review 15:
“Location and views from 49 floor is exceptional. 
Staff very helpful and enthusiastic .”

Review 16:
“Room  staff, location, facilities were all very good.
I will be back there towards the end of my trip in 2 weeks..”

Review 17:
“Excellent Location, 
Everything in walking distance. Robinson Place Mall just one minute away. 
View from 49 floor unforgettable 😍”

Review 18:
“The rooms were clean, Ac have a nice performance, Wi-Fi was too strong, very comfortable, and the staff was amazing. They went over and beyond to help make our stay enjoyable. I highly recommend this hotel for anyone visiting Manila.”

Review 19:
“I like that the facility is very near to a mall. very accessible to places . the room is clean and comfortable to stay in”

Review 20:
“They have in-house breakfast available but i didn't tried it. Very short walking distance to Robinson Place Mall. There is a local bar just in front, open 3pm daily and daily performances from local bands.”

Review 21:
“Friendly and professional staff, excellent position”

Review 22: No text found
Review 23: No text found"
